transaction_id,transaction_date,customer_id,payment_method,before_tax,tax,after_tax,shipping_cost,transaction_discount,total_paid
TX0000036,"2022-07-19 09:16:54",CUST01320,PM004,808708,80870.8,889579,25417,0,914996
TX0000037,"2024-09-14 19:29:42",CUST04197,PM006,2793038,279304,3072340,20432,0,3092770
TX0000038,"2024-12-10 22:28:17",CUST00682,PM010,1595222,141189,1736410,7378,0,1743790
TX0000039,"2021-03-11 07:38:20",CUST04212,PM002,219416,21941.6,241358,8250,0,249608
TX0000040,"2020-10-22 11:43:48",CUST04954,PM005,36077,3607.7,39684.7,19808,0,59492.7
TX0000041,"2020-12-20 18:49:09",CUST01132,PM004,2230960,223096,2454060,23496,0,2477550
TX0000042,"2023-11-25 00:26:30",CUST00410,PM002,9384249,938425,10322700,29225,0,10351900
TX0000043,"2022-12-01 01:41:03",CUST03728,PM006,1908991,157627,2066620,27161,0,2093780
TX0000044,"2022-12-23 08:25:45",CUST02603,PM001,1077510,107751,1185260,10259,0,1195520
TX0000045,"2021-12-26 18:36:41",CUST01251,PM003,35144,3514.4,38658.4,15055,0,53713.4
TX0000046,"2022-12-30 03:55:46",CUST03226,PM002,573727,57372.7,631100,16789,0,647889
TX0000047,"2023-04-30 11:33:39",CUST03911,PM004,4359334,435933,4795270,28540,0,4823810
TX0000048,"2024-09-08 12:32:26",CUST02985,PM009,1525985,152598,1678580,22510,28091,1729180
TX0000049,"2024-04-28 03:04:43",CUST03743,PM004,17143426,1714340,18857800,17978,0,18875700
TX0000050,"2020-11-22 03:00:11",CUST03291,PM010,1453477,145348,1598820,22344,0,1621170
TX0000051,"2024-05-29 07:20:52",CUST02039,PM006,1114853,111485,1226340,5130,0,1231470
TX0000052,"2023-12-11 18:33:55",CUST01538,PM002,1945024,192593,2137620,19554,0,2157170
TX0000053,"2024-12-08 19:37:16",CUST01018,PM002,6870411,687041,7557450,23416,0,7580870
TX0000054,"2021-04-01 07:00:49",CUST03813,PM001,305425,30542.5,335968,21367,0,357334
TX0000055,"2024-11-29 06:48:29",CUST00093,PM001,12745756,1076730,13822500,17862,0,13840300
TX0000056,"2021-01-14 08:04:43",CUST04862,PM002,62604,5716.8,68320.8,17182,4448,89950.8
TX0000057,"2023-04-25 06:52:24",CUST01029,PM008,2626962,230236,2857200,12131,0,2869330
TX0000058,"2021-05-10 00:34:53",CUST03329,PM004,21342678,1748750,23091400,20074,0,23111500
TX0000059,"2022-09-18 21:28:47",CUST03653,PM005,325838872,32583900,358423000,5351,0,358428000
TX0000060,"2024-02-10 19:58:10",CUST04658,PM006,557199,55719.9,612919,18605,0,631524
TX0000061,"2020-05-09 10:35:06",CUST03405,PM001,969062,96906.2,1065970,15861,0,1081830
TX0000062,"2023-05-31 08:02:33",CUST03871,PM002,21354356,2034710,23389100,12029,0,23401100
TX0000063,"2021-11-11 12:36:34",CUST03805,PM005,465066,46506.6,511573,21590,0,533163
TX0000064,"2021-09-04 03:15:13",CUST01369,PM003,728163,72816.3,800979,12323,0,813302
TX0000065,"2020-10-15 06:46:12",CUST04420,PM004,850365,85036.5,935402,8510,0,943912
TX0000066,"2022-08-25 15:55:24",CUST01716,PM001,15028783,1502880,16531700,23399,0,16555100
TX0000067,"2021-07-03 04:42:16",CUST02807,PM003,758101,61521.4,819622,28769,0,848391
TX0000068,"2023-02-02 04:12:21",CUST04847,PM002,189457,18945.7,208403,8716,0,217119
TX0000069,"2024-06-02 09:06:18",CUST03024,PM008,658665,65470.4,724135,6228,0,730363
TX0000070,"2023-10-19 23:14:58",CUST02844,PM005,75470,7547,83017,29230,0,112247
TX0000071,"2023-09-02 23:08:04",CUST03384,PM010,397292,39729.2,437021,26805,0,463826
TX0000072,"2022-05-01 13:11:41",CUST04832,PM002,2334961,221567,2556530,8014,0,2564540
TX0000073,"2024-05-05 20:35:02",CUST03308,PM003,636718,55763.5,692482,13767,0,706248
TX0000074,"2023-09-03 02:58:20",CUST02321,PM002,3612337,358776,3971110,21637,0,3992750
TX0000075,"2021-08-09 03:08:40",CUST04316,PM001,11913708,1181400,13095100,8706,0,13103800
TX0000076,"2024-07-29 03:01:12",CUST02314,PM003,39341,3647.6,42988.6,6151,0,49139.6
TX0000077,"2021-09-25 21:17:49",CUST03570,PM007,6842372,684237,7526610,27945,0,7554550
TX0000078,"2023-01-29 08:28:20",CUST04303,PM009,600816,60081.6,660898,16842,0,677740
TX0000079,"2021-09-14 14:28:53",CUST00748,PM003,48222,4822.2,53044.2,6140,0,59184.2
TX0000080,"2024-11-17 01:24:18",CUST04454,PM003,258598,25859.8,284458,6895,9976,301329
TX0000081,"2024-01-15 14:21:59",CUST02896,PM005,46227,4622.7,50849.7,14601,0,65450.7
TX0000082,"2023-01-20 00:16:43",CUST00617,PM001,690752,69075.2,759827,5812,0,765639
TX0000083,"2023-04-16 07:24:34",CUST01047,PM005,31247,3124.7,34371.7,15947,0,50318.7
TX0000084,"2021-05-07 05:06:47",CUST03061,PM003,1168335,116834,1285170,25975,0,1311140
TX0000085,"2023-01-03 15:03:59",CUST03252,PM003,889602,76470.6,966073,22491,0,988564
TX0000086,"2021-10-09 14:20:09",CUST04279,PM006,39495,3505.8,43000.8,18808,2758,64566.8
TX0000087,"2024-01-03 14:18:16",CUST03819,PM002,786742,78674.2,865416,17786,0,883202
TX0000088,"2024-03-12 05:37:47",CUST02701,PM003,69396,5937.1,75333.1,29253,0,104586
TX0000089,"2022-08-23 06:34:57",CUST03190,PM004,1177850,117785,1295640,20377,0,1316010
TX0000090,"2020-12-30 14:43:36",CUST00822,PM004,39024,3902.4,42926.4,15377,0,58303.4
TX0000091,"2020-09-30 16:29:32",CUST00572,PM005,1005080,90660.8,1095740,22446,0,1118190
TX0000092,"2023-05-28 07:49:04",CUST03112,PM002,1389555,137593,1527150,17572,0,1544720
TX0000093,"2024-10-07 02:50:12",CUST00723,PM001,0,0,0,0,0,0
TX0000094,"2020-03-14 01:40:37",CUST03630,PM010,33449,3344.9,36793.9,13301,0,50094.9
TX0000095,"2024-08-17 03:44:00",CUST04266,PM002,13081685,1301900,14383600,23065,0,14406700
TX0000096,"2020-03-01 16:57:08",CUST04099,PM001,4825035,470803,5295840,10944,128312,5435090
TX0000097,"2020-10-11 06:44:58",CUST03220,PM008,2611341,249652,2860990,19084,0,2880080
TX0000098,"2024-05-30 21:03:55",CUST03583,PM002,39973,3997.3,43970.3,16319,0,60289.3
TX0000099,"2022-08-28 03:58:59",CUST04306,PM001,88656,8865.6,97521.6,17274,0,114796
TX0000100,"2023-03-02 14:32:44",CUST00679,PM004,170019,17001.9,187021,17286,0,204307
TX0000101,"2020-05-08 00:30:08",CUST03948,PM004,1614489,150915,1765400,12672,0,1778080
TX0000102,"2020-08-03 23:49:42",CUST03024,PM009,23647283,2364730,26012000,8046,0,26020100
TX0000103,"2022-04-03 21:30:31",CUST02946,PM005,974832,97483.2,1072320,7876,0,1080190
TX0000104,"2021-05-16 19:14:09",CUST02994,PM010,39718188,3971820,43690000,11724,0,43701700
TX0000105,"2022-10-31 10:30:53",CUST01043,PM005,260546,26054.6,286601,10798,0,297399
TX0000106,"2024-06-24 11:49:20",CUST04121,PM001,28688840,2868880,31557700,16972,0,31574700
TX0000107,"2024-12-30 20:10:33",CUST03569,PM001,11574816,1157480,12732300,24680,0,12757000
TX0000108,"2023-02-28 13:58:30",CUST03130,PM002,38824,3882.4,42706.4,5515,0,48221.4
TX0000109,"2020-08-07 09:20:59",CUST04198,PM003,24680,2468,27148,6700,0,33848
TX0000110,"2023-05-29 07:44:32",CUST00917,PM002,4246265,395214,4641480,11966,0,4653440
TX0000111,"2022-03-24 05:22:12",CUST00120,PM002,40494,4049.4,44543.4,29597,0,74140.4
TX0000112,"2022-01-04 12:50:13",CUST02768,PM002,2559264,255926,2815190,14634,121063,2950890
TX0000113,"2023-12-14 15:08:41",CUST04648,PM001,19136,1913.6,21049.6,23052,0,44101.6
TX0000114,"2024-09-28 15:13:36",CUST02053,PM004,742164,74216.4,816380,10819,0,827199
TX0000115,"2023-12-23 17:52:03",CUST01043,PM003,2652365,265236,2917600,29233,0,2946830
TX0000116,"2024-01-09 16:03:04",CUST03823,PM003,1167082,116708,1283790,15152,0,1298940
TX0000117,"2020-09-19 05:12:58",CUST01185,PM006,205972,20597.2,226569,24027,0,250596
TX0000118,"2022-05-05 04:18:51",CUST01357,PM006,28506,2850.6,31356.6,14497,0,45853.6
TX0000119,"2023-04-14 04:56:05",CUST01937,PM001,1336505,125197,1461700,15608,0,1477310
TX0000120,"2024-12-25 10:01:41",CUST04916,PM002,1106408,110641,1217050,14367,0,1231420
TX0000121,"2021-05-21 02:27:07",CUST04160,PM003,455871,45587.1,501458,7757,0,509215
TX0000122,"2021-08-06 18:18:55",CUST04579,PM009,36963,3131.4,40094.4,19905,0,59999.4
TX0000123,"2024-09-10 20:57:13",CUST04338,PM002,17922461,1763640,19686100,17506,0,19703600
TX0000124,"2024-09-26 16:59:14",CUST01949,PM004,996514,99651.4,1096170,9576,0,1105740
TX0000125,"2020-02-04 15:29:15",CUST02840,PM005,1175551,117555,1293110,27995,97725,1418830
TX0000126,"2023-05-23 09:19:30",CUST03977,PM006,24837,2483.7,27320.7,25253,0,52573.7
TX0000127,"2024-08-07 01:34:15",CUST03703,PM005,8849263,882133,9731400,17510,0,9748910
TX0000128,"2023-10-23 08:37:05",CUST02050,PM008,43218670,3748140,46966800,18224,0,46985000
TX0000129,"2024-09-14 14:14:21",CUST03467,PM006,232352,23235.2,255587,28748,0,284335
TX0000130,"2022-11-09 01:00:50",CUST03557,PM002,569459,56945.9,626405,14042,0,640447
TX0000131,"2023-11-03 22:05:42",CUST02826,PM001,1360466,115477,1475940,16230,0,1492170
TX0000132,"2022-05-21 13:20:30",CUST03062,PM008,5961191,543310,6504500,16791,0,6521290
TX0000133,"2022-03-31 23:50:26",CUST03571,PM005,146457,14645.7,161103,21650,0,182753
TX0000134,"2022-10-01 12:46:04",CUST02086,PM003,1779825,177982,1957810,29835,0,1987640
TX0000135,"2022-08-29 23:17:40",CUST00365,PM003,256778,25677.8,282456,6233,0,288689
TX0000136,"2020-11-02 02:49:30",CUST03317,PM001,13080353,1308040,14388400,15650,0,14404000
TX0000137,"2024-08-17 22:35:22",CUST01991,PM001,1139690,113969,1253660,26429,0,1280090
TX0000138,"2024-04-17 10:27:01",CUST04830,PM001,156368,15636.8,172005,5349,0,177354
TX0000139,"2024-06-19 07:33:14",CUST03292,PM003,1023160,102316,1125480,7932,0,1133410
TX0000140,"2024-07-31 03:31:23",CUST03091,PM003,4852470,485247,5337720,21585,0,5359300
TX0000141,"2023-05-11 13:19:03",CUST00932,PM001,1915716,191572,2107290,7971,0,2115260
TX0000142,"2024-08-05 13:16:03",CUST00969,PM002,40888,4088.8,44976.8,26594,0,71570.8
TX0000143,"2023-04-07 07:36:01",CUST00612,PM001,1317557,131756,1449310,14450,37964,1501730
TX0000144,"2023-08-07 18:10:14",CUST03942,PM001,66006408,6062690,72069100,5098,0,72074200
TX0000145,"2020-01-21 19:17:12",CUST04386,PM007,423936,39157.2,463093,8650,0,471743
TX0000146,"2021-03-03 21:17:26",CUST00389,PM003,1989683,198968,2188650,15983,0,2204630
TX0000147,"2024-04-19 05:51:15",CUST02438,PM007,387903,36748.3,424651,27496,0,452147
TX0000148,"2022-12-01 10:47:07",CUST04635,PM001,2781332,278133,3059470,11103,0,3070570
TX0000149,"2023-11-25 00:29:01",CUST02458,PM001,26643,2489.4,29132.4,9995,0,39127.4
TX0000150,"2024-06-28 10:15:18",CUST00065,PM003,753350,75335,828685,16729,0,845414
TX0000151,"2021-06-10 12:36:02",CUST04344,PM002,156249,15624.9,171874,15548,0,187422
TX0000152,"2020-12-09 00:28:06",CUST01125,PM001,734430,73443,807873,7062,0,814935
TX0000153,"2024-08-06 05:21:46",CUST01339,PM001,569932,52674.7,622607,22038,0,644645
TX0000154,"2021-06-29 22:28:43",CUST04800,PM002,696516,69651.6,766168,13817,0,779985
TX0000155,"2020-09-16 12:46:57",CUST00728,PM001,1544185,147216,1691400,26707,0,1718110
TX0000156,"2021-03-14 21:07:39",CUST01173,PM001,232168031,23216800,255385000,6997,0,255392000
TX0000157,"2020-11-28 08:38:51",CUST00566,PM005,2140395,214040,2354430,28200,0,2382630
TX0000158,"2021-11-06 16:57:47",CUST01205,PM004,35409526,2913830,38323400,18636,0,38342000
TX0000159,"2022-10-06 03:36:09",CUST00136,PM006,1699821,169982,1869800,6046,109761,1985610
TX0000160,"2021-09-04 00:23:53",CUST04489,PM003,1434573,116887,1551460,6692,0,1558150
TX0000161,"2022-01-19 15:34:17",CUST03127,PM002,938838,93883.8,1032720,12849,0,1045570
TX0000162,"2023-04-22 20:20:30",CUST01919,PM001,30102375,2946730,33049100,9577,0,33058700
TX0000163,"2023-05-02 18:11:06",CUST03033,PM002,927271,77582.8,1004850,9351,0,1014200
TX0000164,"2023-05-20 20:29:18",CUST04781,PM008,7245933,674232,7920160,13962,0,7934130
TX0000165,"2020-05-06 07:29:05",CUST01717,PM003,817059,81705.9,898765,7093,0,905858
TX0000166,"2021-12-04 17:08:30",CUST03902,PM003,40907950,4090460,44998400,6375,0,45004800
TX0000167,"2024-11-21 09:00:09",CUST01880,PM005,1639925,163992,1803920,6731,0,1810650
TX0000168,"2022-12-26 10:05:58",CUST01203,PM001,884793,88479.3,973272,12039,0,985311
TX0000169,"2021-02-15 01:04:20",CUST00137,PM007,9076202,907620,9983820,13110,0,9996930
TX0000170,"2020-05-21 01:29:08",CUST03676,PM007,554897,55489.7,610387,17686,0,628073
TX0000171,"2020-05-30 05:40:07",CUST01581,PM001,890638,82487.9,973126,10296,0,983422
TX0000172,"2024-07-15 20:11:57",CUST02153,PM001,815611,81561.1,897172,28416,0,925588
TX0000173,"2021-12-14 05:22:01",CUST03704,PM002,702450,70245,772695,7268,0,779963
TX0000174,"2022-08-29 10:23:05",CUST02098,PM008,804634,69716.2,874350,14378,0,888728
TX0000175,"2023-09-22 10:44:41",CUST02478,PM003,1360760,136076,1496840,11816,0,1508650
TX0000176,"2022-01-04 04:25:49",CUST03198,PM004,8621481,860650,9482130,15736,0,9497870
TX0000177,"2022-09-20 08:21:32",CUST04670,PM001,2898845,289884,3188730,8983,0,3197710
TX0000178,"2023-11-08 19:47:52",CUST04828,PM004,295058,29505.8,324564,21685,0,346249
TX0000179,"2020-08-11 08:11:43",CUST00362,PM004,1279960,109970,1389930,8408,0,1398340
TX0000180,"2020-05-21 23:11:46",CUST04855,PM001,1202836,120284,1323120,5609,0,1328730
TX0000181,"2024-06-07 13:07:25",CUST01543,PM001,331426,29669.9,361096,15390,0,376486
TX0000182,"2020-05-30 20:44:56",CUST01908,PM007,5587626,543244,6130870,21631,0,6152500
TX0000183,"2020-12-02 17:46:23",CUST01706,PM001,3729507,367002,4096510,8979,0,4105490
TX0000184,"2021-07-23 01:00:22",CUST00131,PM004,65084,5999.5,71083.5,15504,0,86587.5
TX0000185,"2024-10-28 15:44:47",CUST01697,PM008,1993011,199301,2192310,17097,0,2209410
TX0000186,"2020-04-29 14:07:26",CUST01029,PM004,1529471,152947,1682420,29658,0,1712080
TX0000187,"2024-02-20 17:45:33",CUST03660,PM003,1567497,153756,1721250,22193,0,1743450
TX0000188,"2022-12-02 06:25:10",CUST01913,PM005,39808,3498.6,43306.6,25639,0,68945.6
TX0000189,"2023-01-09 11:51:43",CUST02700,PM003,3428302,342830,3771130,12631,0,3783760
TX0000190,"2022-06-29 17:36:27",CUST00247,PM004,1456767,145677,1602440,5557,0,1608000
TX0000191,"2022-02-19 16:03:10",CUST00745,PM004,921309,78771.9,1000080,12129,33819,1046030
TX0000192,"2022-12-08 08:06:41",CUST04039,PM003,797611,79761.1,877372,15352,0,892724
TX0000193,"2020-09-26 18:01:10",CUST03444,PM004,173165,17316.5,190482,19282,0,209764
TX0000194,"2020-10-24 11:27:00",CUST01483,PM002,30629,3062.9,33691.9,9395,0,43086.9
TX0000195,"2022-08-31 19:41:16",CUST02897,PM004,413988,35512.3,449500,12615,0,462115
TX0000196,"2022-03-29 23:26:14",CUST00047,PM004,66640,6664,73304,11885,0,85189
TX0000197,"2024-02-27 03:37:58",CUST03368,PM003,487689,44313.8,532003,25057,0,557060
TX0000198,"2022-10-12 23:43:39",CUST04065,PM001,4682837,447933,5130770,13071,0,5143840
TX0000199,"2022-12-23 18:42:43",CUST03684,PM001,1071780,105887,1177670,13272,0,1190940
TX0000200,"2024-01-13 00:26:29",CUST04073,PM003,559253,55925.3,615178,13562,0,628740
TX0000201,"2023-09-24 19:28:45",CUST03520,PM003,1693164,162553,1855720,5326,0,1861040
TX0000202,"2023-04-23 09:24:35",CUST04357,PM007,262127,26212.7,288340,5656,0,293996
TX0000203,"2023-09-08 14:16:20",CUST04081,PM009,52802,5280.2,58082.2,23641,0,81723.2
TX0000204,"2024-10-19 12:56:08",CUST03941,PM001,83592,8359.2,91951.2,24839,0,116790
TX0000205,"2020-02-19 02:01:58",CUST03325,PM001,12528638,1252860,13781500,22778,0,13804300
TX0000206,"2021-09-11 07:24:19",CUST00956,PM006,70365,7036.5,77401.5,22180,3984,103566
TX0000207,"2022-03-31 03:01:17",CUST03907,PM003,16193428,1619340,17812800,20434,0,17833200
TX0000208,"2024-05-25 04:20:20",CUST03043,PM003,37566,3756.6,41322.6,23279,0,64601.6
TX0000209,"2024-05-06 23:57:22",CUST01868,PM005,330657714,33060000,363718000,26321,0,363744000
TX0000210,"2020-08-01 23:10:50",CUST00926,PM002,519635,43576.9,563212,16484,0,579696
TX0000211,"2023-09-26 05:32:58",CUST00591,PM003,35537,3553.7,39090.7,16042,2519,57651.7
TX0000212,"2024-06-21 20:15:29",CUST02119,PM004,3118705,310116,3428820,26801,0,3455620
TX0000213,"2020-09-06 23:11:54",CUST00946,PM002,774932,75982.2,850914,11132,0,862046
TX0000214,"2021-06-21 07:24:21",CUST00660,PM006,1530818,126409,1657230,5538,0,1662760
TX0000215,"2024-03-26 15:35:43",CUST02346,PM004,259991,25999.1,285990,8238,0,294228
TX0000216,"2024-12-04 14:29:51",CUST02049,PM002,388301,38830.1,427131,10731,0,437862
TX0000217,"2024-06-03 04:57:28",CUST03693,PM001,126448,12644.8,139093,5496,0,144589
TX0000218,"2021-12-11 02:16:28",CUST03926,PM006,1340475,134048,1474520,12633,0,1487160
TX0000219,"2022-06-20 15:50:46",CUST01028,PM010,295443,25686.2,321129,22074,0,343203
TX0000220,"2024-03-25 10:12:57",CUST01505,PM002,5067334,506733,5574070,29158,0,5603230
TX0000221,"2023-03-06 19:33:55",CUST01139,PM004,652737,65273.7,718011,16367,0,734378
TX0000222,"2024-11-03 07:15:49",CUST04132,PM002,1557349,155735,1713080,5426,0,1718510
TX0000223,"2021-05-27 07:20:10",CUST02018,PM006,2428060,239876,2667940,15664,0,2683600
TX0000224,"2020-12-08 10:16:11",CUST01036,PM002,1938026,193803,2131830,16237,0,2148070
TX0000225,"2022-01-03 19:56:14",CUST03541,PM002,14501846,1450180,15952000,13717,0,15965700
TX0000226,"2021-05-16 21:20:45",CUST03912,PM006,39197,3536.5,42733.5,28498,0,71231.5
TX0000227,"2020-11-28 13:05:17",CUST04567,PM004,1355481,135548,1491030,25015,86525,1602570
TX0000228,"2021-05-07 15:41:23",CUST02949,PM001,57506,5750.6,63256.6,9962,0,73218.6
TX0000229,"2021-07-18 02:53:49",CUST00779,PM005,1826582,166121,1992700,24146,0,2016850
TX0000230,"2022-01-12 04:09:30",CUST02546,PM002,1242884,106544,1349430,8494,0,1357920
TX0000231,"2020-08-12 01:10:00",CUST02650,PM003,337282,28297.5,365580,14249,0,379828
TX0000232,"2021-02-23 17:37:30",CUST01003,PM004,76822,7682.2,84504.2,6674,0,91178.2
TX0000233,"2020-06-09 04:40:25",CUST01295,PM005,4042757,397447,4440200,21746,0,4461950
TX0000234,"2024-09-22 00:13:42",CUST01675,PM001,163552,16355.2,179907,28868,12912,221687
TX0000235,"2023-09-10 01:47:05",CUST01024,PM008,635820,63582,699402,5398,24615,729415
TX0000236,"2020-09-22 07:32:14",CUST02856,PM008,1608342,160834,1769180,18490,0,1787670
TX0000237,"2023-08-27 17:13:47",CUST03486,PM004,7076938,593483,7670420,28862,0,7699280
TX0000238,"2022-12-30 01:32:49",CUST04412,PM007,115560,11556,127116,16702,0,143818
TX0000239,"2021-08-13 08:45:43",CUST01856,PM007,836911,79025.1,915936,29732,11308,956976
TX0000240,"2024-10-20 14:42:07",CUST00495,PM010,615015,61501.5,676516,14343,0,690860
TX0000241,"2020-07-17 08:42:37",CUST00886,PM001,43619,4060.3,47679.3,7831,0,55510.3
TX0000242,"2024-07-02 02:21:10",CUST00285,PM009,5501991,493780,5995770,14227,0,6010000
TX0000243,"2024-06-22 08:38:42",CUST02807,PM003,7106170,710617,7816790,20469,0,7837260
TX0000244,"2024-10-08 10:49:23",CUST02570,PM002,361723,36172.3,397895,12892,3702,414489
TX0000245,"2020-09-13 22:18:13",CUST00904,PM001,1718693,149303,1868000,13519,0,1881520
TX0000246,"2024-10-24 04:45:51",CUST01296,PM003,775825,77582.5,853408,9779,0,863186
TX0000247,"2023-08-17 00:36:18",CUST04182,PM003,125834,12583.4,138417,18043,0,156460
TX0000248,"2022-05-18 10:50:20",CUST01271,PM005,19689363,1968940,21658300,18179,0,21676500
TX0000249,"2022-10-01 01:30:07",CUST02219,PM003,823978,71123.6,895102,7575,0,902677
TX0000250,"2020-05-15 22:50:13",CUST02325,PM002,1831948,183195,2015140,26537,0,2041680
TX0000251,"2022-06-13 14:01:41",CUST03785,PM001,1494694,148816,1643510,9440,0,1652950
TX0000252,"2022-08-12 07:43:53",CUST04692,PM006,32763,2709.8,35472.8,6938,0,42410.8
TX0000253,"2023-07-01 13:35:58",CUST04038,PM001,446183,43326.1,489509,19435,0,508944
TX0000254,"2023-09-27 08:26:56",CUST01035,PM001,521186,50757.3,571943,7884,0,579827
TX0000255,"2023-12-12 11:49:47",CUST04495,PM003,1927648,177886,2105530,21015,0,2126550
TX0000256,"2023-10-15 05:58:34",CUST00021,PM001,3469210,314742,3783950,18089,0,3802040
TX0000257,"2023-09-28 13:06:21",CUST01194,PM001,11549824,1154980,12704800,14556,0,12719400
TX0000258,"2024-04-27 03:14:34",CUST04983,PM005,951790,94850.1,1046640,27465,0,1074110
TX0000259,"2022-05-21 07:24:59",CUST00232,PM003,20956448,1848390,22804800,22234,0,22827100
TX0000260,"2024-10-11 04:01:14",CUST04964,PM009,2066000,206600,2272600,10013,76485,2359100
TX0000261,"2020-06-02 01:41:24",CUST00195,PM001,21724149,2172420,23896600,17961,0,23914500
TX0000262,"2023-10-27 23:15:04",CUST03855,PM003,3145716,314572,3460290,10272,206584,3677140
TX0000263,"2024-11-11 14:44:43",CUST00322,PM001,1112296,111230,1223530,15723,0,1239250
TX0000264,"2023-11-29 22:42:20",CUST00225,PM002,24355103,2266610,26621700,26571,0,26648300
TX0000265,"2021-04-21 16:38:45",CUST03412,PM003,1295945,115144,1411090,11536,0,1422620
TX0000266,"2020-10-25 07:15:54",CUST03725,PM002,560553,56055.3,616608,11022,0,627630
TX0000267,"2021-05-05 08:15:50",CUST04266,PM004,16620363,1662040,18282400,23766,0,18306200
TX0000268,"2022-01-27 06:17:06",CUST04372,PM004,38390,3839,42229,12810,0,55039
TX0000269,"2023-12-12 12:55:54",CUST01590,PM008,232199,21339.9,253539,20346,11535,285420
TX0000270,"2020-04-20 12:58:01",CUST04486,PM002,211721,21172.1,232893,28182,0,261075
TX0000271,"2021-09-01 06:30:48",CUST00082,PM004,7851705,785170,8636880,12231,262762,8911870
TX0000272,"2023-01-17 13:24:45",CUST00285,PM002,860714,86071.4,946785,15119,0,961904
TX0000273,"2021-05-12 14:10:13",CUST02236,PM004,571502,57150.2,628652,14176,0,642828
TX0000274,"2023-06-02 00:53:41",CUST00888,PM004,1384389,138439,1522830,10644,133350,1666820
TX0000275,"2021-12-23 07:54:18",CUST04546,PM007,1312081,127786,1439870,27520,0,1467390
TX0000276,"2020-11-20 10:03:39",CUST00740,PM005,15192716,1519270,16712000,18309,0,16730300
TX0000277,"2023-07-30 07:30:53",CUST00722,PM002,1766530,176653,1943180,28574,0,1971760
